DCID,Field,URL,Status_Code,Message,Is_404
dc/base/CensusACS5YearSurvey_SubjectTables_S2601A,prov_url,https://data.census.gov/cedsci/table?q=S2601A&tid=ACSST5Y2023.S2601A,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601A,sourceDataUrl,https://data.census.gov/table?q=S2601A,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601A,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601A,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601APR,prov_url,https://data.census.gov/cedsci/table?q=S2601APR&tid=ACSST5Y2023.S2601APR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601APR,sourceDataUrl,https://data.census.gov/table?q=S2601APR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601APR,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2601APR,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602,prov_url,https://data.census.gov/cedsci/table?q=S2602&tid=ACSST5Y2023.S2602,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602,sourceDataUrl,https://data.census.gov/table?q=S2602,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602PR,prov_url,https://data.census.gov/cedsci/table?q=S2602PR&tid=ACSST5Y2024.S2602PR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602PR,sourceDataUrl,https://data.census.gov/table?q=S2602PR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602PR,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2602PR,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2603,prov_url,https://data.census.gov/cedsci/table?q=S2603&tid=ACSST5Y2023.S2603,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2603,sourceDataUrl,https://data.census.gov/table/ACSST5Y2023.S2603?q=S2603,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2603,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2603,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2701,prov_url,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2023.S2701,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2701,sourceDataUrl,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2023.S2701,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2701,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2701,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702,prov_url,https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2013.S2702,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702,sourceDataUrl,https://data.census.gov/table?q=S2702,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702PR,prov_url,https://data.census.gov/cedsci/table?q=S2702PR&tid=ACSST5Y2013.S2702PR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702PR,sourceDataUrl,https://data.census.gov/table?q=S2702PR,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702PR,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2702PR,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2703,prov_url,https://data.census.gov/cedsci/table?q=S2703&tid=ACSST5Y2023.S2703,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2703,sourceDataUrl,https://data.census.gov/cedsci/table?q=S2703&tid=ACSST5Y2023.S2703,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2703,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2703,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2704,prov_url,https://data.census.gov/cedsci/table?q=S2704&tid=ACSST5Y2023.S2704,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2704,sourceDataUrl,https://data.census.gov/table?q=S2704,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2704,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2704,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SuperEnum,prov_url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SuperEnum,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SuperEnum,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,prov_url,https://data.census.gov/table/ACSDT5Y2022.B25031,403,HTTP Error 403,No
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusCountyBusinessPatterns,prov_url,https://www.census.gov/programs-surveys/cbp.html,200,OK,No
dc/base/CensusCountyBusinessPatterns,sourceDataUrl,https://www.census.gov/data/datasets/{year}/econ/cbp/{year}-cbp.html,404,HTTP Error 404,Yes
dc/base/CensusCountyBusinessPatterns,dataset.url,https://www.census.gov/programs-surveys/cbp/data/datasets.html,200,OK,No
dc/base/CensusCountyBusinessPatterns,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusPEP,prov_url,https://www.census.gov/programs-surveys/popest.html,200,OK,No
dc/base/CensusPEP,sourceDataUrl,https://www2.census.gov/programs-surveys/popest/tables/,200,OK,No
dc/base/CensusPEP,dataset.url,https://www.census.gov/programs-surveys/popest/about.html,200,OK,No
dc/base/CensusPEP,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusSAHIE,prov_url,https://www.census.gov/programs-surveys/sahie.html,200,OK,No
dc/base/CensusSAHIE,sourceDataUrl,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html,200,OK,No
dc/base/CensusSAHIE,dataset.url,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html,200,OK,No
dc/base/CensusSAHIE,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusSAHIE_AggCountry,prov_url,https://www.census.gov/programs-surveys/sahie.html,200,OK,No
dc/base/CensusSAHIE_AggCountry,dataset.url,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html,200,OK,No
dc/base/CensusSAHIE_AggCountry,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusSAIPE,prov_url,https://www.census.gov/programs-surveys/saipe.html,200,OK,No
dc/base/CensusSAIPE,sourceDataUrl,https://www.census.gov/data/datasets/time-series/demo/saipe/estimates-acs.html,404,HTTP Error 404,Yes
dc/base/CensusSAIPE,dataset.url,https://www.census.gov/programs-surveys/saipe.html,200,OK,No
dc/base/CensusSAIPE,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,prov_url,https://data.census.gov/api/access/table/download,400,HTTP Error 400,No
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,dataset.url,https://www.census.gov/programs-surveys/economic-census/about.html,200,OK,No
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/ClimateTrace_GHG_Emissions,prov_url,https://api.climatetrace.org/,200,OK,No
dc/base/ClimateTrace_GHG_Emissions,sourceDataUrl,https://api.climatetrace.org/emissions_by_subsector_timeseries?interval=year&since=2015&to=2020&download=csv,404,HTTP Error 404,Yes
dc/base/ClimateTrace_GHG_Emissions,dataset.url,https://climatetrace.org/inventory,200,OK,No
dc/base/ClimateTrace_GHG_Emissions,dataset.source.url,https://climatetrace.org/,200,OK,No
dc/base/ClimateTrace_GHG_Emissions_OldAPI,prov_url,https://climatetrace.org/inventory,200,OK,No
dc/base/ClimateTrace_GHG_Emissions_OldAPI,sourceDataUrl,https://api.climatetrace.org/emissions_by_subsector_timeseries?interval=year&since=2015&to=2020&download=csv,404,HTTP Error 404,Yes
dc/base/ClimateTrace_GHG_Emissions_OldAPI,dataset.url,https://climatetrace.org/inventory,200,OK,No
dc/base/ClimateTrace_GHG_Emissions_OldAPI,dataset.source.url,https://climatetrace.org/,200,OK,No
dc/base/ClimateTrace_GreenhouseGas,prov_url,https://api.climatetrace.org/,200,OK,No
dc/base/ClimateTrace_GreenhouseGas,sourceDataUrl,https://api.climatetrace.org/emissions_by_subsector_timeseries?interval=year&since=2015&to=2020&download=csv,404,HTTP Error 404,Yes
dc/base/ClimateTrace_GreenhouseGas,dataset.url,https://climatetrace.org/inventory,200,OK,No
dc/base/ClimateTrace_GreenhouseGas,dataset.source.url,https://climatetrace.org/,200,OK,No
dc/base/Climate_StatVarCalculation,prov_url,https://datacommons.org/,200,OK,No
dc/base/Climate_StatVarCalculation,dataset.url,https://datacommons.org/,200,OK,No
dc/base/Climate_StatVarCalculation,dataset.source.url,https://datacommons.org/,200,OK,No
dc/base/Commerce_EDA,prov_url,https://www.commerce.gov/bureaus-and-offices/eda,403,HTTP Error 403,No
dc/base/Commerce_EDA,dataset.url,https://www.eda.gov/performance/tools,403,HTTP Error 403,No
dc/base/Commerce_EDA,dataset.source.url,https://data.commerce.gov/,403,HTTP Error 403,No
dc/base/Commerce_NTIA,prov_url,https://www.ntia.gov/other-publication/2022/digital-nation-data-explorer#sel=homeEverOnline&demo=race&pc=count&disp=both,200,OK,No
dc/base/Commerce_NTIA,sourceDataUrl,https://www.ntia.gov/sites/default/files/data_central_downloads/datasets/ntia-analyze-table.csv,200,OK,No
dc/base/Commerce_NTIA,dataset.url,https://www.ntia.gov/other-publication/2022/digital-nation-data-explorer#sel=homeEverOnline&demo=race&pc=count&disp=both,200,OK,No
dc/base/Commerce_NTIA,dataset.source.url,https://data.commerce.gov/,403,HTTP Error 403,No
dc/base/Copernicus_ECMWF_ERA5_Monthly,prov_url,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,404,HTTP Error 404,Yes
